name,address,Primary_Cuisine,website,Ranking_Description,Customer_Rating
Sweet 'N' Joy,"Govt Press Road Pulimoodu, Thiruvananthapuram (Trivandrum) 695001 India",,,#216 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Hungry Eye Kitchen,"Nomiddle Cliff Varkala, Thiruvananthapuram (Trivandrum) India",Indian,,#116 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Rox Cafe,"Hawa Beach Road Kovalam, Thiruvananthapuram (Trivandrum) 6955527 India",,,#151 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Chaithram Coffee Shop,"Thampanoor KTDC Chaithram Hotel, Opposite Trivandrum Central Railway Terminal, Thiruvananthapuram (Trivandrum) 695001 India",Indian,https://www.ktdc.com/chaithram,#308 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Tass Restaurant,"Pappanamkode Near Bus Stand, Thiruvananthapuram (Trivandrum) 695018 India",,,#218 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Lords Restaurant,"Pangappara, Thiruvananthapuram (Trivandrum) 695581 India",,,#410 of 727 Restaurants in Thiruvananthapuram (Trivandrum),2.5
New Hotel Gowri Restaurant,"Vazhuthacaud Road Thycaud P o, Thiruvananthapuram (Trivandrum) 695014 India",Indian,,#395 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Pazhayidam Ruchi,"Sreevaraham Rd, Puthen Street, Attakulangara, Thiruvananthapuram, Kerala 695009 Sreevaraham Rd, Puthen Street, Attakulangara,, Thiruvananthapuram (Trivandrum) 695009 India",Indian,,#277 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Tibetan Kitchen,"North Middle Cliff, Varkala, Thiruvananthapuram (Trivandrum) 695141 India",,,#378 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Kingsway Restaurant,"Eanchakal Chackai Bypass road Opposite Trivandrum International Airport, Thiruvananthapuram (Trivandrum) 695024 India",Italian,http://www.spskingsway.com,#330 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Al Karim,"Opp To Lbs College, Poojappura - Jagathy Road, Thiruvananthapuram (Trivandrum) 695012 India",Fast Food,,,
Hotel Sri Aryas Restaurant,"Vazhayila-Nedumangad Road Hotel Sri Aryas, Vazhayila, Peroorkada P o, Thiruvananthapuram (Trivandrum) 695005 India",Indian,,#289 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Hotel Raja Restaurant,"Nalanchira Opposite: Mar Ivanios Vidya Nagar, Thiruvananthapuram (Trivandrum) 695015 India",Indian,,#317 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hoy Punjab,"Gw36+fqg, Venpalavattom, Thiruvananthapuram, Kerala 695029 Near Rddrive Show Room, Nh Bye Pass, Thiruvananthapuram (Trivandrum) 695029 India",Indian,https://hoypunjab.com/,,
"Kaduk Fine Dine Restaurant, Vembayam","M.c. Raod, Vembayam, Thiruvananthapuram, Thiruvananthapuram (Trivandrum) 695615 India",Chinese,,,
Mahe,"Press Road, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,,#333 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Hotel Zeenath Restaurant,"41/2337, Manacaud Opposite Sut Baby Hospital, Thiruvananthapuram (Trivandrum) 65009 India",Indian,,#245 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel New Aaryas Restaurant,"Tc 91/1026 National Highway 47 Bypass Road, Thiruvananthapuram (Trivandrum) 695029 India",Chinese,,#175 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Buraq Family Restaurant,"Vellambalam-Sasthamangalam Road Near Gulf Gate, Vellayambalam, Thiruvananthapuram (Trivandrum) 695010 India",Indian,,#230 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Classic Cafe,"Manjalikulam Road Classic Avenue Hotel, Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",Cafe,https://www.classicavenue.net/index.php/food,#296 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Sun Tara Restaurant,"Sun Tara Aazhimala Beach, Near Azhimala Shiva Temple Chowara, Thiruvananthapuram (Trivandrum) 695501 India",Chinese,,#353 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Mubarak Hotel Restaurant,"Kanjirampara Vattiyoorkavu Po, Opposite Bus Stop, Thiruvananthapuram (Trivandrum) 695013 India",Indian,,#226 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Marhaba,"Statue Government Press Road Hotel Town Tower, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,,#350 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Chicken King,"Chicken King, Bypass Road Kazhakuttam, Thiruvananthapuram (Trivandrum) 695584 India",Fast Food,,#383 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Sri Suprabhatham,"Overbridge Pazhavangadi, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,,#319 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Olive Garden Restaurant,"Vellayambalam Sasthamangalam Road, Thiruvananthapuram (Trivandrum) 695010 India",Chinese,,#452 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.0
Chirag Inn Restaurant,"Chirag in Opposite of Statute Mg Road, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,http://Www.chiraginn.in,#436 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Dreamz Hotel Restaurant,"Aristo Junction, Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",,http://www.dreamzhotel.in,#256 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
hotel Sree Aryaas,"State Main Road, Thiruvananthapuram (Trivandrum) India",Indian,,#220 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Food for Freedom,"Vazhuthacaud Poojappura Road, Thiruvananthapuram (Trivandrum) 695012 India",,,#311 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Albaik Family Restaurant,"Devasom Road Kochulloor Ulloor, Thiruvananthapuram (Trivandrum) 695011 India",Indian,,#360 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Currys N ' Kebabs,"Bypass Road Ambalathara Thiruvallam, Thiruvananthapuram (Trivandrum) 695026 India",Indian,https://www.facebook.com/pages/Currys-N-Kebabs/402600516554366,#228 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Ambalapattu Restaurant,"Pattom OppositeLic Pattom, Thiruvananthapuram (Trivandrum) 695004 India",Indian,,#184 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Pozzon Haoss Seafood Restaurant,"2nd Floor 13 Shop No Sf Mall Of Travancore, Thiruvananthapuram (Trivandrum) 695024 India",Italian,http://www.facebook.com/pozzonhaoss,#463 of 907 places to eat in Thiruvananthapuram (Trivandrum),
Al-Minar Family Restaurant,"Kaniyapuram Opposite Ksrtc Bus Depot, Thiruvananthapuram (Trivandrum) 695301 India",Indian,,#354 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Green Graple ice cream parlour,"Attingal Road, Thiruvananthapuram (Trivandrum) India",Cafe,,#355 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Ranthal Garden Restaurant,"Near Nemom Post Office, Thiruvananthapuram (Trivandrum) 695020 India",Chinese,http://www.ranthalgardens.com,#407 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
The Curry Pot,"G V Raja Road, Opp Uds Samudra Beach, Thiruvananthapuram (Trivandrum) 695527 India",,,#181 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Sri Aiswariya Veg. Restaurant,"Sir Aiswariya Veg. Restaurant, Thompil Building Shasthamngalam, Thiruvananthapuram (Trivandrum) 695010 India",Indian,,#223 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Arabian Nights Restaurant,"Viraly Poovar Road, Thiruvananthapuram (Trivandrum) India",Chinese,,#416 of 727 Restaurants in Thiruvananthapuram (Trivandrum),2.0
Brothers Restaurant,"Brothers Restaurant, Karyavattom Jn Karyavattom, Thiruvananthapuram (Trivandrum) 695581 India",Indian,,#305 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Mudumbil Restaurant,"Tc 95/2722-1, Venpalavattom Anayara, Thiruvananthapuram (Trivandrum) 695029 India",Chinese,,#365 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Chicken Express,"Kesavadasapuram Opposite Chaithanya Eye Hospital, Thiruvananthapuram (Trivandrum) 695004 India",,http://www.facebook.com/chickenexpresstvm/,#415 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Hotel Sri Aariyaas Restaurant,"Kuravankonam Junction, Trivandrum, Thiruvananthapuram (Trivandrum) 695003 India",Indian,,#255 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Cupcake Noggins,"Tc 11/1212 - 6 Sen Business Center Cliff House Road Nanthencode, Thiruvananthapuram (Trivandrum) 695003 India",,http://www.cupcakenoggins.com,#178 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Cochin Bakers,"Tc 30/855 Pettah, Opposite Kepco, Thiruvananthapuram (Trivandrum) 695024 India",Pizza,,#375 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Monte Nero,"Monte Nero, Cordial Emarald, Kesavadasapuram-ulloor Road Above Thomson Furniture, Thiruvananthapuram (Trivandrum) 695011 India",Italian,http://www.montenero.in,#332 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel Aaryas Restaurant,"Masjid Lane Peroorkada, Near Post Office, Thiruvananthapuram (Trivandrum) 695005 India",Indian,,#193 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Ramapuram Biriyani,"DD's Foods , Pettah ,Valiyavila , Sreekaryam, Thiruvananthapuram (Trivandrum) India",Indian,http://www.ramapurambiriyani.com,#246 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel Sri Aangeeras Restaurant,"Vazhuthacaud Road Vazhuthacaud, Thiruvananthapuram (Trivandrum) 695014 India",Indian,,#318 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Grill N Chill Restaurant,"Sarapaka Road, Thiruvananthapuram (Trivandrum) 695013 India",Chinese,,#371 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Trans Restaurant,"Trans Towers Vazhuthacaud Road opp. Womens College, Thiruvananthapuram (Trivandrum) 695010 India",Chinese,,#347 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Orion,"South Gate of Secretariat Press Road, Thiruvananthapuram (Trivandrum) 695001 India",International,http://www.residencytower.com/orion.php,#300 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Hotel Samptipthi Restaurant,"Karamana Junction Karamana, Thiruvananthapuram (Trivandrum) 695002 India",Indian,,#351 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Haji Ali fresh Fruit Juice,"Mahathma Gandhi Road Juma Masjid Building, University of Kerala Senate House Campus, Thiruvananthapuram (Trivandrum) 695034 India",Indian,,#268 of 727 Restaurants in Thiruvananthapuram (Trivandrum),5.0
Buttons & Brews,"26/2190, Herbarton, Opp. AKG Centre General Hospital Road, Thiruvananthapuram (Trivandrum) 695035 India",Indian,https://www.facebook.com/Buttonsandbrewslounge/,#343 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Athithi Veg And Non Veg Restaurant,"Light House Beach Kovalam Avaduthura Vizhinjam, Thiruvananthapuram (Trivandrum) 695521 India",Indian,,#371 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Malabar Restaurant,"Pharmacy junction, kadamabattu konam, Thiruvananthapuram (Trivandrum) India",Indian,,#138 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Hotel Gago Inn Restaurant,"Kesavadasapuram, Thiruvananthapuram (Trivandrum) 695004 India",Indian,http://www.gagoinn.com/Contact,#182 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Brew Arabica Bread & Tea,"Karyavattom, Thiruvananthapuram (Trivandrum) 695581 India",Indian,,#341 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel Sri Lakshmi Restaurant,"Vattiyoorkavu Jn Vattiyoorkavu Po, Opposite Bus Stop, Thiruvananthapuram (Trivandrum) 695013 India",Fast Food,,#267 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Octopus Restaurant,"Vizhinjam P O Mullur, Thiruvananthapuram (Trivandrum) 695521 India",,,#213 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Ariyaas Restaurant,"Attingal Opposite Private Bus Stand, Thiruvananthapuram (Trivandrum) 695101 India",Indian,,#312 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Bites and Drinks Restaurant,"Karimpanal Arcade, East Fort, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,,#334 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel Seven Hills Restaurant,"S. S Kovil Road Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",,http://Www.thesevenhillshotel.in,#254 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Chic Pop Fried Chicken,"NH Road Near Govt. ITI, Attingal, Thiruvananthapuram (Trivandrum) 695101 India",Indian,,#266 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Bake Mahal,"No 116 Anna's Arcade M G Road Above Indian Coffee House, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#412 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Domino's Pizza,"1st Floor Janvilla Lane Opposite Kingfisher Airlines Office, Sasthamangalam, Thiruvananthapuram (Trivandrum) 695010 India",Pizza,http://www.dominos.co.in/,#190 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Hotel Thriveni Restaurant,"Bakery Junction Hotel Thriveni, Thiruvananthapuram (Trivandrum) 695034 India",Indian,,#200 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Falafil Restaurant,"Near Technopark Main Gate , Bypass Road , Kazhakuttom Near Technopark Main Gate, Kazhakuttom, Thiruvananthapuram (Trivandrum) India",Chinese,http://www.facebook.com/eatfalafil/?ref=hl,#369 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Flora Restaurant,"Beach Road, Kovalam Junction Near Co-Operative Bank, Kovalam, Thiruvananthapuram (Trivandrum) 695527 India",Mediterranean,,#164 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Bread Factory,"Overbridge Azad Plaza, Thiruvananthapuram (Trivandrum) 695036 India",Indian,http://www.breadfactory.in,#263 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Madathil Restaurant,"Sreevaraham, 450/1, Azhika Jn, Thiruvananthapuram (Trivandrum) 695009 India",Indian,,#357 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Spice Root Roof Top Restaurant,"Kovalam Rd Kovalam Junction, La Promenade Hotel, Thiruvananthapuram (Trivandrum) 695527 India",Chinese,http://www.lapromenadehotel.com,#350 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Contour Rocks Restaurant,"Main Central Rd Saisudha, Keezhayikonam, Nellanad, Thiruvananthapuram (Trivandrum) 695606 India",,,#193 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
LF Eats,"Ambujavilasam Rd Vanchiyoor, Thiruvananthapuram (Trivandrum) 695035 India",,,#237 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Hotel Town Tower Restaurant,"Government Secretariats Press Road Opposite Residency Tower, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,http://Www.hoteltowntower.com,#370 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Kanchipuram Cafe,"Kanchipuram Cafe Near Vaxhuthakad Junction, Thiruvananthapuram (Trivandrum) India",,,#294 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Punjabi Dhaba International,"Kovalam Junction, Thiruvananthapuram (Trivandrum) 695527 India",Indian,,#274 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Kuppi,"Pattom Pottakuzhy Road, Thiruvananthapuram (Trivandrum) India",Cafe,http://www.kuppi.in,#202 of 727 Restaurants in Thiruvananthapuram (Trivandrum),5.0
Robust Garden Restaurant,"Marappalam Rd Pattom P.O, Thiruvananthapuram (Trivandrum) 695004 India",Indian,https://www.facebook.com/robustgardenrestaurant/,#265 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Caffe Primo,"Erathayil Arcade Near Technopark Main Gate, Thiruvananthapuram (Trivandrum) 695582 India",Italian,,#156 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Newyork Cafe,"2nd floor, Saphalyam Complex, Thiruvananthapuram (Trivandrum) India",Cafe,http://www.newyorkcafekerala.com,#327 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Grandeur,"Hotel SP Grand Days, 2nd Floor, Panavila Junction Near New Flyover, Trivandrum, Thiruvananthapuram (Trivandrum) 695014 India",International,http://www.spgranddays.com/,#328 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Riders Barbeque,"Riders barbeque, vellayambalam shasthamangalam road, Thiruvananthapuram (Trivandrum) India",Turkish,,#259 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
"Thoongampara, Kattakada","No 4/135, Thoongampara Maranalloor, Thiruvananthapuram (Trivandrum) 695512 India",Chinese,https://eatillam.kitchen,,
O'Roti Restaurant,"Upper Meridian Road,kuravankonam,kowdiar Kuravankonam, Thiruvananthapuram (Trivandrum) 695003 India",,http://www.facebook.com/Oroti-restaurant-1688724648010946/,#143 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Broccoli Pizza & Pasta,"Food Court, Mall Of Travacore, Enchakkal Food Court, Mall of Travacore, Enchakkal, Thiruvananthapuram (Trivandrum) 695024 India",Pizza,http://www.broccolipizzaandpasta.com,#157 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Harmonia Restaurant,"Chowara P.O, Kovalam, Thiruvananthapuram (Trivandrum) 695501 India",Chinese,http://abadhotels.com/harmonia/dining.html,#167 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Ocean Breeze,"Samudra Beach, Thiruvananthapuram (Trivandrum) India",Indian,,#134 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Ethnic,"Tc 26/1571 Y M C A Road Trivandrum Hotel, Near Secretariate, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,,#238 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Indian Coffee House,"Thampanoor Masjid Rd Overbridge, Aristo, Thampanoor, Thiruvananthapuram (Trivandrum) 695014 India",,,#197 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Mammamia Restaurant,"P. Subramaniam Road Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",,,#241 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Bamboos Multi Cuisine Restaurant,"Hotel Windsor Rajadhani, Toll Junction Near Kowdiar Palace, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",American,http://www.rajadhanihotels.com,#307 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Lamiya,"Kowdiar Square, TVM Opposite Salvation Army High School, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",Chinese,,#205 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Anas Hotel Restaurant,"Vallakadavu, Eenchakkal Near Vayalil Vegetarian Hotel, Thiruvananthapuram (Trivandrum) 695008 India",Chinese,,#399 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
The Brickhouse,"Tc 98/3645 Technopark Campus Attinkuzhy Road, Thiruvananthapuram (Trivandrum) 695582 India",American,,#310 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Palm Top,"G. H. Road Hotel Maurya Rajadhani, 5th Floor, Trivandrum, Thiruvananthapuram (Trivandrum) 695001 India",,http://www.mauryarajadhani.com/dining-palmtop.php,#283 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Sagara Restaurant,"National Highway 47 Bypass Road, Thiruvananthapuram (Trivandrum) 695029 India",Seafood,,#435 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Streat,"M.G. Road, Thiruvananthapuram (Trivandrum) 695001 India",Fusion,,#208 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Hotel Azeez Restaurant,"Poojapura Junction, Thiruvananthapuram (Trivandrum) 695012 India",Chinese,,#294 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Arya's Dosa Corner,"Chalai Eastfort Near Ksrtc Coplex, Thiruvananthapuram (Trivandrum) 695023 India",Indian,,#450 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Frescobites,"Bridge Ln Ulloor Road Near Ulloor Bridge, Parottukonam, Thiruvananthapuram (Trivandrum) 695015 India",Indian,http://www.facebook.com/Frescobites,#171 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Black Pepper,"Gandhari Amman Kovil Road, Thiruvananthapuram (Trivandrum) 695001 India",,,#207 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Suguna Daily Fressh,"Thoppumukku, Vattiyoorkavu, Thiruvananthapuram (Trivandrum) 695013 India",,,#179 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Jithujoji Homely Food,"Chakra Towers, Vanross Jn Opposite Max Signs, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#173 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Mubarak Restaurant,"Press Road Behind Secretariat, Statue, Thiruvananthapuram (Trivandrum) 695001 India",,,#121 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Buraq Restaurant,"53 Sasthamangalam Main Road Near Rose Opticals, Vellayambalam, Thiruvananthapuram (Trivandrum) 695010 India",,,#214 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
The Chef's Studio,"Vellar, Vazhamuttom, Thiruvananthapuram (Trivandrum) 695527 India",Chinese,,#451 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.5
Mezban,"Sreekaryam- chavadimukku road Near al-farooq take away, Thiruvananthapuram (Trivandrum) India",Asian,,#194 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel Crescent Restaurant,"Toll Junction Hotel Crecent, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",,,#278 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Heavens Takeaway,"Devaswom Board Junction Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",Chinese,,#236 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Lonely Planet,"Avaduthura, Vizhinjam P.O, Thiruvananthapuram (Trivandrum) India",,,#139 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
The Pinroll,"Marappalam, Pattom Kuranganoor Road, Pattom, Thiruvananthapuram (Trivandrum) 695004 India",Indian,https://www.facebook.com/The-Pinroll-225053174714623/,#202 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Nikunjam Restaurant,"Opposite Tagore Theatre, Thiruvananthapuram (Trivandrum) 695014 India",Chinese,,#207 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Lighthouses Beach Kovalam,"Light House Beach Kovalam, Thiruvananthapuram (Trivandrum) 695521 India",Indian,,#221 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Amma Restaurant,"Tc 37/1811, West Nada, West Fort, Thiruvananthapuram (Trivandrum) 695023 India",Indian,,#279 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Baskin-Robbins,"Manorama Road, Aristo Junction Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",Cafe,,#97 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Grass Hopper,"Gv Raja Road, Samudra Beach, Kovalam, Thiruvananthapuram (Trivandrum) 695527 India",,http://www.udaysamudra.com,#221 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Atithi Vegetarian Restaurant,"Opposite Fort Police Station East Fort - Manacaud Road, Thiruvananthapuram (Trivandrum) 695009 India",Indian,,#236 of 727 Restaurants in Thiruvananthapuram (Trivandrum),5.0
Domino's Pizza,"Ground Floor, TC No. 2771, Sun Sapphire, Kesavadasapuram-Ulloor Rd, Pattom Beside Indusind Bank, Thiruvananthapuram (Trivandrum) 695004 India",Pizza,http://www.dominos.co.in/,#129 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Sagara Restaurant,"Near SBT,CV Raman Pillai Rd, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#83 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Jasmine Bay,"Gv Raja Vattapara Road Kovalam, Thiruvananthapuram (Trivandrum) 695527 India",Indian,http://www.vivantabytaj.com/Kovalam-Kerala/Dining/Jasmine-Bay-Restaurant.html,#18 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Hotel Blue Nest Restaurant,"Manjalikulam Road, Thiruvananthapuram (Trivandrum) 695001 India",,http://Www.hotelbluenest.in,#270 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Domino's Pizza,"Techno Park 7th Floor, Kariavattam Trivandrum, Thiruvananthapuram (Trivandrum) 695581 India",Italian,http://www.facebook.com/Dominos-Pizza-Techno-Park-846891498729654/,#430 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Thakkaaram,"Press Road Santhi Nagar Naaz Tower, A-7, Thiruvananthapuram (Trivandrum) 695001‎ India",Indian,http://www.thakkaram.com,#19 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Madras Tiffin Centre,"Kowdiar Cliff House Junction, Thiruvananthapuram (Trivandrum) 695003 India",Chinese,http://www.facebook.com/MadrasTiffinCentre,#151 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Hot Chef Take Away,"Chavadimukku, Amadi Nagar Sreekariyam, Thiruvananthapuram (Trivandrum) 695017 India",,,#349 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel Ya Ali Restaurant,"Opp Indian Oil Pump, Thiruvananthapuram (Trivandrum) 695582 India",Asian,http://www.hotelyaali.com/,#364 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Charcoal Restaurant & Grill,"Medical College Kumarapuram Road, Thiruvananthapuram (Trivandrum) 695011 India",,,,
Qissa Family Restaurant,"Nalanchira, Thiruvananthapuram (Trivandrum) 695011 India",,,,
Rohan's Cafe,"Rohan's Cafe Opposite To Techno Park Kazhakootam, Thiruvananthapuram (Trivandrum) 695002 India",,,,
Kathi Nation Thiruvananthapuram,"3 Hospital Road, Thiruvananthapuram (Trivandrum) 695011 India",,,,
Asco General Trading,"Kuttikkad Junction Manacaud, Thiruvananthapuram (Trivandrum) 695009 India",,,,
The Cake Point By Rizma,"The Cakepoint, Thiruvananthapuram (Trivandrum) 695009 India",,,,
Raisinrobbers,"Open House Restaurant, Lakshmi Vilasom Bldg, Kunnumpuram, GPO, Thiruvananthapuram (Trivandrum) 695035 India",,http://www.raisinrobbers.com,,
Aramam Family Restaurant,"6th Stone, Karakulam, Thiruvananthapuram (Trivandrum) 695564 India",,,,
The Cake Valley,"Pazhanchira Devi Temple Road Paravankunnu Ambalathara Thiruvananthapuram, Kl, India, Thiruvananthapuram (Trivandrum) 695026 India",,,,
Kathiru,"Tc. 18/688, Kuravankonam, Vayalikkada Road, Thiruvananthapuram (Trivandrum) 695003 India",,http://kathiru.in/,,
Mahachips,"Maha Chips Tc 37/124,125 Padmavilasam Road,pazhavangadi East Fort,trivandrum-695023 Kerala., Thiruvananthapuram (Trivandrum) 695023 India",,http://www.mahachips.com,,
