name,address,Primary_Cuisine,website,Ranking_Description,Customer_Rating
Malabar Cafe,"Hyatt Regency Trivandrum, C.v. Raman Pillai Road Thycaud, Trivandrum, Thiruvananthapuram (Trivandrum) 695014 India",Indian,http://hyattregencytrivandrum.com,#190 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Grace Restaurant,"Grace Lane Near Kurishadi Nalanchira, Thiruvananthapuram (Trivandrum) 695015 India",Chinese,,#155 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
B 6 Inn Restaurant,"Bypass Road Opposite Technopark, Kulathoor, Kazhakuttom, Thiruvananthapuram (Trivandrum) 695582 India",Chinese,http://www.bsixinn.com,#206 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Mani Mess,"540, 3rd Puthen St TC 40, near Mani fashion jewellwers, Muttathara, Thiruvananthapuram (Trivandrum) 695009 India",,,#186 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Vasanta Bhavan,"Vasanta Bhavan Y M C A Road, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,,#238 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Maveli Cafe,"Central Station Rd, Thiruvananthapuram (Trivandrum) India",Cafe,,#142 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Edaneram Events & Catering,"Nh 66 Opp New Rajasthan Marbles, Thiruvananthapuram (Trivandrum) 695008 India",Indian,http://www.facebook.com/visitedaneram,#97 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Coconut Grove,"Coconut Grove Restaurant Lighthouse Kovalam Beach, Thiruvananthapuram (Trivandrum) 688521 India",Chinese,,#167 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Ayswarya Hotel Restaurant,"Thakaraparambu Road Opposite Capstocks, Thakaraparambu, Thiruvananthapuram (Trivandrum) 695036 India",Indian,,#94 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Azad Star,"Mall of Travancore, Thiruvananthapuram (Trivandrum) 695024 India",Indian,http://azadstar.in,#132 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Vismaya Restaurant,"Christian College Road Kattakada, Thiruvananthapuram (Trivandrum) 695572 India",Chinese,http://Www.hotelvismaya.com,#108 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Sri Padmanabha Vegeterian Hotel,"Main Road East Fort, Thiruvananthapuram (Trivandrum) 695023 India",,,#168 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
